section_id,term_id,enrollment_count,waitlist_count,enrollment_date
1,1,94,0,2020-07-14
2,2,99,0,2020-12-07
3,2,94,18,2020-11-28
4,2,89,0,2020-11-13
5,3,90,0,2021-06-16
6,4,94,0,2021-11-12
7,5,86,0,2022-06-26
8,6,98,0,2022-11-12
9,6,97,0,2022-11-15
10,6,99,7,2022-11-21
11,7,89,0,2023-07-03
12,7,93,14,2023-07-05
13,7,72,0,2023-06-26
14,8,95,0,2023-11-22
15,9,89,0,2024-07-02
16,10,95,0,2024-11-29
17,1,110,19,2020-07-08
18,2,110,0,2020-11-19
19,3,107,0,2021-07-01
20,4,109,0,2021-11-29
21,4,111,0,2021-12-09
22,5,109,0,2022-06-23
23,6,106,0,2022-12-06
24,6,115,15,2022-12-06
25,6,113,0,2022-11-19
26,7,114,0,2023-06-23
27,7,108,0,2023-07-03
28,7,107,0,2023-06-17
29,8,105,0,2023-11-22
30,9,89,0,2024-06-17
31,10,113,0,2024-12-09
32,1,96,0,2020-07-07
33,2,100,0,2020-11-22
34,2,104,0,2020-11-28
35,3,100,0,2021-06-25
36,4,100,0,2021-11-26
37,4,102,0,2021-11-25
38,5,98,0,2022-07-13
39,5,101,0,2022-06-22
40,6,99,0,2022-12-03
41,7,97,0,2023-06-16
42,8,103,0,2023-12-09
43,9,100,0,2024-06-26
44,10,105,5,2024-11-18
45,1,42,0,2020-07-15
46,1,41,0,2020-07-15
47,1,41,0,2020-06-30
48,2,48,0,2020-11-21
49,3,48,0,2021-07-06
50,4,44,0,2021-11-21
51,5,46,4,2022-07-11
52,5,43,0,2022-06-25
53,6,43,0,2022-12-03
54,6,37,0,2022-11-14
55,7,40,10,2023-06-27
56,8,44,0,2023-12-06
57,9,39,0,2024-07-13
58,10,44,0,2024-12-09
59,1,41,7,2020-07-03
60,2,46,0,2020-11-19
61,3,43,0,2021-07-12
62,4,48,0,2021-11-24
63,5,46,7,2022-07-02
64,6,46,0,2022-11-13
65,7,42,9,2023-07-07
66,7,49,0,2023-06-30
67,7,45,0,2023-06-23
68,8,50,0,2023-12-04
69,9,46,0,2024-06-28
70,9,46,0,2024-07-01
71,10,42,0,2024-11-27
72,1,23,0,2020-06-30
73,2,28,0,2020-11-22
74,3,24,0,2021-07-16
75,4,20,0,2021-11-26
76,4,25,0,2021-11-15
77,4,20,0,2021-12-01
78,5,19,0,2022-06-23
79,6,26,0,2022-12-09
80,7,23,0,2023-07-13
81,8,14,0,2023-11-23
82,9,20,0,2024-07-03
83,10,28,0,2024-12-07
84,10,25,3,2024-12-03
85,10,25,0,2024-12-08
86,1,77,0,2020-06-28
87,2,79,0,2020-12-07
88,3,76,15,2021-06-16
89,4,72,0,2021-11-29
90,5,70,4,2022-06-20
91,5,75,0,2022-07-06
92,5,75,0,2022-07-06
93,6,74,0,2022-11-13
94,6,72,0,2022-11-15
95,7,73,0,2023-07-10
96,8,76,0,2023-12-04
97,9,73,0,2024-07-04
98,10,70,19,2024-12-07
99,1,137,0,2020-07-16
100,2,139,0,2020-12-10
101,2,139,15,2020-12-10
102,2,132,0,2020-11-19
103,3,134,22,2021-06-20
104,4,137,0,2021-11-17
105,5,108,0,2022-07-04
106,6,141,4,2022-11-24
107,7,141,0,2023-07-02
108,7,142,0,2023-07-06
109,7,135,0,2023-07-12
110,8,132,0,2023-11-28
111,9,138,0,2024-07-16
112,10,140,0,2024-11-12
113,1,26,0,2020-06-28
114,2,26,0,2020-11-21
115,3,26,0,2021-07-10
116,4,26,0,2021-11-17
117,4,31,1,2021-12-06
118,5,26,0,2022-06-21
119,6,26,0,2022-12-07
120,7,31,4,2023-06-19
121,8,16,0,2023-11-11
122,9,28,0,2024-06-30
123,10,24,0,2024-11-21
124,1,52,0,2020-06-18
125,2,44,0,2020-12-10
126,3,44,0,2021-07-11
127,4,49,0,2021-12-04
128,5,49,0,2022-06-25
129,6,51,0,2022-12-02
130,7,45,0,2023-07-12
131,8,52,0,2023-12-01
132,8,45,0,2023-11-23
133,9,48,0,2024-06-22
134,10,46,0,2024-12-01
135,1,11,0,2020-07-01
136,2,17,0,2020-11-26
137,3,11,0,2021-07-16
138,4,16,0,2021-11-14
139,5,11,0,2022-06-24
140,6,18,0,2022-11-13
141,7,16,0,2023-06-21
142,7,11,0,2023-06-17
143,7,21,0,2023-06-29
144,8,12,0,2023-12-09
145,9,17,0,2024-06-23
146,10,12,0,2024-11-27
147,1,56,0,2020-07-11
148,1,55,0,2020-07-02
149,1,54,0,2020-06-26
150,2,58,0,2020-11-30
151,3,58,4,2021-06-21
152,3,58,0,2021-06-27
153,4,56,7,2021-11-27
154,5,59,0,2022-07-01
155,6,53,0,2022-11-19
156,7,56,0,2023-06-25
157,8,52,0,2023-12-04
158,9,58,0,2024-07-12
159,10,56,0,2024-11-16
