term_id,term_name,year,semester,start_date,end_date
1,Fall 2020,2020,Fall,2020-08-15,2020-12-15
2,Spring 2021,2021,Spring,2021-01-10,2021-05-10
3,Fall 2021,2021,Fall,2021-08-15,2021-12-15
4,Spring 2022,2022,Spring,2022-01-10,2022-05-10
5,Fall 2022,2022,Fall,2022-08-15,2022-12-15
6,Spring 2023,2023,Spring,2023-01-10,2023-05-10
7,Fall 2023,2023,Fall,2023-08-15,2023-12-15
8,Spring 2024,2024,Spring,2024-01-10,2024-05-10
9,Fall 2024,2024,Fall,2024-08-15,2024-12-15
10,Spring 2025,2025,Spring,2025-01-10,2025-05-10
